"Date Administered","AgeGroupVacc","7-day_avg_group_cases_per_100k","Administered_Dose1_pct_agegroup","Series_Complete_Pop_pct_agegroup"
"2022 Apr 15 12:00:00 AM","<2 Years","5.69462081882","0%","0%"
"2022 Apr 15 12:00:00 AM","2 - 4 Years","9.60316919505","0%","0%"
"2022 Apr 15 12:00:00 AM","5 - 11 Years","7.8609833038","35.2%","28.7%"
"2022 Apr 15 12:00:00 AM","12 - 17 Years","7.80117719141","69.1%","59.3%"
"2022 Apr 15 12:00:00 AM","18 - 24 Years","13.85448143712","78.1%","63.8%"
"2022 Apr 15 12:00:00 AM","25 - 49 Years","12.96819143401","82.3%","69.9%"
"2022 Apr 15 12:00:00 AM","50 - 64 Years","10.45201126764","92.8%","81.1%"
"2022 Apr 15 12:00:00 AM","65+ Years","9.77543168827","95%","90.1%"
"2022 Apr 14 12:00:00 AM","<2 Years","5.46797540563","0%","0%"
"2022 Apr 14 12:00:00 AM","2 - 4 Years","9.47349265949","0%","0%"
"2022 Apr 14 12:00:00 AM","5 - 11 Years","7.89111548282","35.2%","28.7%"
"2022 Apr 14 12:00:00 AM","12 - 17 Years","7.81431144772","69.1%","59.3%"
"2022 Apr 14 12:00:00 AM","18 - 24 Years","13.93059197424","78%","63.8%"
"2022 Apr 14 12:00:00 AM","25 - 49 Years","12.80720844825","82.3%","69.9%"
"2022 Apr 14 12:00:00 AM","50 - 64 Years","10.23020768788","92.8%","81.1%"
"2022 Apr 14 12:00:00 AM","65+ Years","9.41708816229","95%","90%"
"2022 Apr 13 12:00:00 AM","<2 Years","5.23389899529","0%","0%"
"2022 Apr 13 12:00:00 AM","2 - 4 Years","9.24256184274","0%","0%"
"2022 Apr 13 12:00:00 AM","5 - 11 Years","7.74045458771","35.2%","28.7%"
"2022 Apr 13 12:00:00 AM","12 - 17 Years","7.60016596446","69.1%","59.3%"
"2022 Apr 13 12:00:00 AM","18 - 24 Years","13.50938397067","78%","63.8%"
"2022 Apr 13 12:00:00 AM","25 - 49 Years","12.38894369806","82.3%","69.9%"
"2022 Apr 13 12:00:00 AM","50 - 64 Years","9.75844940872","92.8%","81.1%"
"2022 Apr 13 12:00:00 AM","65+ Years","8.92740486316","95%","90%"
"2022 Apr 12 12:00:00 AM","<2 Years","5.06917855838","0%","0%"
"2022 Apr 12 12:00:00 AM","2 - 4 Years","9.16972981592","0%","0%"
"2022 Apr 12 12:00:00 AM","5 - 11 Years","7.68169683862","35.2%","28.6%"
"2022 Apr 12 12:00:00 AM","12 - 17 Years","7.61444233001","69%","59.3%"
"2022 Apr 12 12:00:00 AM","18 - 24 Years","13.11606740618","78%","63.8%"
"2022 Apr 12 12:00:00 AM","25 - 49 Years","12.04594543834","82.3%","69.9%"
"2022 Apr 12 12:00:00 AM","50 - 64 Years","9.4687653066","92.7%","81.1%"
"2022 Apr 12 12:00:00 AM","65+ Years","8.59020254815","95%","89.9%"
"2022 Apr 11 12:00:00 AM","<2 Years","4.87721113191","0%","0%"
"2022 Apr 11 12:00:00 AM","2 - 4 Years","9.07025192563","0%","0%"
"2022 Apr 11 12:00:00 AM","5 - 11 Years","7.49186411078","35.1%","28.6%"
"2022 Apr 11 12:00:00 AM","12 - 17 Years","7.49109453166","69%","59.2%"
"2022 Apr 11 12:00:00 AM","18 - 24 Years","12.88820853107","78%","63.8%"
"2022 Apr 11 12:00:00 AM","25 - 49 Years","11.85414155226","82.2%","69.9%"
"2022 Apr 11 12:00:00 AM","50 - 64 Years","9.31802060143","92.7%","81.1%"
"2022 Apr 11 12:00:00 AM","65+ Years","8.33915066786","95%","89.9%"
"2022 Apr 10 12:00:00 AM","<2 Years","4.60474123627","0%","0%"
"2022 Apr 10 12:00:00 AM","2 - 4 Years","8.70253900972","0%","0%"
"2022 Apr 10 12:00:00 AM","5 - 11 Years","7.24980227264","35.1%","28.6%"
"2022 Apr 10 12:00:00 AM","12 - 17 Years","7.30264650639","69%","59.2%"
"2022 Apr 10 12:00:00 AM","18 - 24 Years","12.45565485738","77.9%","63.8%"
"2022 Apr 10 12:00:00 AM","25 - 49 Years","11.53468887304","82.2%","69.9%"
"2022 Apr 10 12:00:00 AM","50 - 64 Years","9.032195927","92.7%","81.1%"
"2022 Apr 10 12:00:00 AM","65+ Years","7.97076506668","95%","89.8%"
"2022 Apr 09 12:00:00 AM","<2 Years","4.519284769","0%","0%"
"2022 Apr 09 12:00:00 AM","2 - 4 Years","8.63858893739","0%","0%"
"2022 Apr 09 12:00:00 AM","5 - 11 Years","7.32663932915","35.1%","28.6%"
"2022 Apr 09 12:00:00 AM","12 - 17 Years","7.82116410318","69%","59.2%"
"2022 Apr 09 12:00:00 AM","18 - 24 Years","12.64569483205","77.9%","63.8%"
"2022 Apr 09 12:00:00 AM","25 - 49 Years","11.53521798721","82.2%","69.8%"
"2022 Apr 09 12:00:00 AM","50 - 64 Years","9.04604446166","92.7%","81%"
"2022 Apr 09 12:00:00 AM","65+ Years","7.89914921451","95%","89.8%"
"2022 Apr 08 12:00:00 AM","<2 Years","4.55520125524","0%","0%"
"2022 Apr 08 12:00:00 AM","2 - 4 Years","8.71142096421","0%","0%"
"2022 Apr 08 12:00:00 AM","5 - 11 Years","7.46574955563","35.1%","28.6%"
"2022 Apr 08 12:00:00 AM","12 - 17 Years","7.89197487631","69%","59.2%"
"2022 Apr 08 12:00:00 AM","18 - 24 Years","12.61496697545","77.9%","63.8%"
"2022 Apr 08 12:00:00 AM","25 - 49 Years","11.59434649554","82.2%","69.8%"
"2022 Apr 08 12:00:00 AM","50 - 64 Years","9.03787155596","92.7%","81%"
"2022 Apr 08 12:00:00 AM","65+ Years","7.8037495","95%","89.8%"
"2022 Apr 07 12:00:00 AM","<2 Years","4.52919276521","0%","0%"
"2022 Apr 07 12:00:00 AM","2 - 4 Years","8.79668772732","0%","0%"
"2022 Apr 07 12:00:00 AM","5 - 11 Years","7.97548558408","35.1%","28.5%"
"2022 Apr 07 12:00:00 AM","12 - 17 Years","8.51956390591","69%","59.2%"
"2022 Apr 07 12:00:00 AM","18 - 24 Years","12.27696055284","77.9%","63.7%"
"2022 Apr 07 12:00:00 AM","25 - 49 Years","11.29209002679","82.2%","69.8%"
"2022 Apr 07 12:00:00 AM","50 - 64 Years","8.8755485677","92.7%","81%"
"2022 Apr 07 12:00:00 AM","65+ Years","7.93561780344","95%","89.7%"
"2022 Apr 06 12:00:00 AM","<2 Years","4.40781981169","0%","0%"
"2022 Apr 06 12:00:00 AM","2 - 4 Years","8.59062638314","0%","0%"
"2022 Apr 06 12:00:00 AM","5 - 11 Years","7.93932696926","35%","28.5%"
"2022 Apr 06 12:00:00 AM","12 - 17 Years","8.56639038492","68.9%","59.2%"
"2022 Apr 06 12:00:00 AM","18 - 24 Years","11.98670049202","77.9%","63.7%"
"2022 Apr 06 12:00:00 AM","25 - 49 Years","11.03546965507","82.2%","69.8%"
"2022 Apr 06 12:00:00 AM","50 - 64 Years","8.63785322685","92.7%","81%"
"2022 Apr 06 12:00:00 AM","65+ Years","7.68271606719","95%","89.7%"
"2022 Apr 05 12:00:00 AM","<2 Years","4.59235624101","0%","0%"
"2022 Apr 05 12:00:00 AM","2 - 4 Years","9.05071162575","0%","0%"
"2022 Apr 05 12:00:00 AM","5 - 11 Years","8.12915969709","35%","28.5%"
"2022 Apr 05 12:00:00 AM","12 - 17 Years","8.80680438079","68.9%","59.2%"
"2022 Apr 05 12:00:00 AM","18 - 24 Years","12.00466446972","77.9%","63.7%"
"2022 Apr 05 12:00:00 AM","25 - 49 Years","11.30505332391","82.2%","69.8%"
"2022 Apr 05 12:00:00 AM","50 - 64 Years","8.77792774959","92.6%","81%"
"2022 Apr 05 12:00:00 AM","65+ Years","7.67082413601","95%","89.6%"
"2022 Apr 04 12:00:00 AM","<2 Years","4.5143307709","0%","0%"
"2022 Apr 04 12:00:00 AM","2 - 4 Years","8.75760712756","0%","0%"
"2022 Apr 04 12:00:00 AM","5 - 11 Years","7.97096575723","35%","28.4%"
"2022 Apr 04 12:00:00 AM","12 - 17 Years","8.63263272107","68.9%","59.2%"
"2022 Apr 04 12:00:00 AM","18 - 24 Years","11.54611030198","77.8%","63.7%"
"2022 Apr 04 12:00:00 AM","25 - 49 Years","10.92594302219","82.1%","69.8%"
"2022 Apr 04 12:00:00 AM","50 - 64 Years","8.41468749615","92.6%","81%"
"2022 Apr 04 12:00:00 AM","65+ Years","7.36163392555","95%","89.6%"
"2022 Apr 03 12:00:00 AM","<2 Years","4.95152110344","0%","0%"
"2022 Apr 03 12:00:00 AM","2 - 4 Years","9.73817490331","0%","0%"
"2022 Apr 03 12:00:00 AM","5 - 11 Years","8.69162703883","34.9%","28.4%"
"2022 Apr 03 12:00:00 AM","12 - 17 Years","9.41440649862","68.9%","59.1%"
"2022 Apr 03 12:00:00 AM","18 - 24 Years","12.0249921287","77.8%","63.7%"
"2022 Apr 03 12:00:00 AM","25 - 49 Years","11.67027437871","82.1%","69.8%"
"2022 Apr 03 12:00:00 AM","50 - 64 Years","8.90211051123","92.6%","80.9%"
"2022 Apr 03 12:00:00 AM","65+ Years","7.95253077222","95%","89.6%"
"2022 Apr 02 12:00:00 AM","<2 Years","4.8573951395","0%","0%"
"2022 Apr 02 12:00:00 AM","2 - 4 Years","9.50369130476","0%","0%"
"2022 Apr 02 12:00:00 AM","5 - 11 Years","8.30894836526","34.9%","28.4%"
"2022 Apr 02 12:00:00 AM","12 - 17 Years","8.67317759924","68.9%","59.1%"
"2022 Apr 02 12:00:00 AM","18 - 24 Years","11.48181817125","77.8%","63.7%"
"2022 Apr 02 12:00:00 AM","25 - 49 Years","11.23203556866","82.1%","69.8%"
"2022 Apr 02 12:00:00 AM","50 - 64 Years","8.48892472294","92.6%","80.9%"
"2022 Apr 02 12:00:00 AM","65+ Years","7.67346678739","95%","89.5%"
"2022 Apr 01 12:00:00 AM","<2 Years","4.77317717175","0%","0%"
"2022 Apr 01 12:00:00 AM","2 - 4 Years","9.30473552417","0%","0%"
"2022 Apr 01 12:00:00 AM","5 - 11 Years","8.13669274185","34.9%","28.4%"
"2022 Apr 01 12:00:00 AM","12 - 17 Years","8.60807737233","68.9%","59.1%"
"2022 Apr 01 12:00:00 AM","18 - 24 Years","11.37639798629","77.8%","63.7%"
"2022 Apr 01 12:00:00 AM","25 - 49 Years","10.99710887785","82.1%","69.8%"
"2022 Apr 01 12:00:00 AM","50 - 64 Years","8.3052613698","92.6%","80.9%"
"2022 Apr 01 12:00:00 AM","65+ Years","7.66448177272","95%","89.5%"
"2022 Mar 31 12:00:00 AM","<2 Years","4.78308516796","0%","0%"
"2022 Mar 31 12:00:00 AM","2 - 4 Years","8.9974198988","0%","0%"
"2022 Mar 31 12:00:00 AM","5 - 11 Years","7.52701831964","34.9%","28.3%"
"2022 Mar 31 12:00:00 AM","12 - 17 Years","7.96335670407","68.8%","59.1%"
"2022 Mar 31 12:00:00 AM","18 - 24 Years","11.23079521963","77.8%","63.6%"
"2022 Mar 31 12:00:00 AM","25 - 49 Years","10.86390438594","82.1%","69.8%"
"2022 Mar 31 12:00:00 AM","50 - 64 Years","8.19674334408","92.6%","80.9%"
"2022 Mar 31 12:00:00 AM","65+ Years","7.37511144755","95%","89.5%"
"2022 Mar 30 12:00:00 AM","<2 Years","4.74469168266","0%","0%"
"2022 Mar 30 12:00:00 AM","2 - 4 Years","8.89438922672","0%","0%"
"2022 Mar 30 12:00:00 AM","5 - 11 Years","7.37384640961","34.8%","28.3%"
"2022 Mar 30 12:00:00 AM","12 - 17 Years","7.86399319984","68.8%","59.1%"
"2022 Mar 30 12:00:00 AM","18 - 24 Years","11.11781125459","77.7%","63.6%"
"2022 Mar 30 12:00:00 AM","25 - 49 Years","10.74763154741","82.1%","69.8%"
"2022 Mar 30 12:00:00 AM","50 - 64 Years","8.21717560834","92.6%","80.9%"
"2022 Mar 30 12:00:00 AM","65+ Years","7.40973018051","95%","89.4%"
"2022 Mar 29 12:00:00 AM","<2 Years","4.48089128371","0%","0%"
"2022 Mar 29 12:00:00 AM","2 - 4 Years","8.12521196784","0%","0%"
"2022 Mar 29 12:00:00 AM","5 - 11 Years","7.0971325656","34.8%","28.3%"
"2022 Mar 29 12:00:00 AM","12 - 17 Years","7.49908929637","68.8%","59.1%"
"2022 Mar 29 12:00:00 AM","18 - 24 Years","10.79824154593","77.7%","63.6%"
"2022 Mar 29 12:00:00 AM","25 - 49 Years","10.17975976608","82.1%","69.7%"
"2022 Mar 29 12:00:00 AM","50 - 64 Years","7.80467089552","92.5%","80.9%"
"2022 Mar 29 12:00:00 AM","65+ Years","7.15920683049","95%","89.4%"
"2022 Mar 28 12:00:00 AM","<2 Years","4.46355229035","0%","0%"
"2022 Mar 28 12:00:00 AM","2 - 4 Years","8.33304970292","0%","0%"
"2022 Mar 28 12:00:00 AM","5 - 11 Years","7.46775836757","34.7%","28.2%"
"2022 Mar 28 12:00:00 AM","12 - 17 Years","7.92452498977","68.8%","59.1%"
"2022 Mar 28 12:00:00 AM","18 - 24 Years","11.16461214387","77.7%","63.6%"
"2022 Mar 28 12:00:00 AM","25 - 49 Years","10.64286694205","82.1%","69.7%"
"2022 Mar 28 12:00:00 AM","50 - 64 Years","8.03169605392","92.5%","80.9%"
"2022 Mar 28 12:00:00 AM","65+ Years","7.30613824675","95%","89.4%"
"2022 Mar 27 12:00:00 AM","<2 Years","3.97682197678","0%","0%"
"2022 Mar 27 12:00:00 AM","2 - 4 Years","7.40222087232","0%","0%"
"2022 Mar 27 12:00:00 AM","5 - 11 Years","6.75714114564","34.7%","28.2%"
"2022 Mar 27 12:00:00 AM","12 - 17 Years","7.25524897276","68.8%","59%"
"2022 Mar 27 12:00:00 AM","18 - 24 Years","10.59780137364","77.7%","63.6%"
"2022 Mar 27 12:00:00 AM","25 - 49 Years","9.97697676101","82%","69.7%"
"2022 Mar 27 12:00:00 AM","50 - 64 Years","7.59035914599","92.5%","80.8%"
"2022 Mar 27 12:00:00 AM","65+ Years","6.69991402213","95%","89.4%"
"2022 Mar 26 12:00:00 AM","<2 Years","3.98425297393","0%","0%"
"2022 Mar 26 12:00:00 AM","2 - 4 Years","7.36669305436","0%","0%"
"2022 Mar 26 12:00:00 AM","5 - 11 Years","6.79279755748","34.7%","28.2%"
"2022 Mar 26 12:00:00 AM","12 - 17 Years","7.35632564086","68.8%","59%"
"2022 Mar 26 12:00:00 AM","18 - 24 Years","10.68525758089","77.7%","63.6%"
"2022 Mar 26 12:00:00 AM","25 - 49 Years","10.08002174532","82%","69.7%"
"2022 Mar 26 12:00:00 AM","50 - 64 Years","7.68616376284","92.5%","80.8%"
"2022 Mar 26 12:00:00 AM","65+ Years","6.74351776976","95%","89.4%"
"2022 Mar 25 12:00:00 AM","<2 Years","3.93595149243","0%","0%"
"2022 Mar 25 12:00:00 AM","2 - 4 Years","7.20326509174","0%","0%"
"2022 Mar 25 12:00:00 AM","5 - 11 Years","6.62907938479","34.7%","28.1%"
"2022 Mar 25 12:00:00 AM","12 - 17 Years","7.19528823745","68.7%","59%"
"2022 Mar 25 12:00:00 AM","18 - 24 Years","10.42052527786","77.7%","63.6%"
"2022 Mar 25 12:00:00 AM","25 - 49 Years","9.83014757925","82%","69.7%"
"2022 Mar 25 12:00:00 AM","50 - 64 Years","7.53292178092","92.5%","80.8%"
"2022 Mar 25 12:00:00 AM","65+ Years","6.5595892343","95%","89.4%"
"2022 Mar 24 12:00:00 AM","<2 Years","4.00035346776","0%","0%"
"2022 Mar 24 12:00:00 AM","2 - 4 Years","7.17484283737","0%","0%"
"2022 Mar 24 12:00:00 AM","5 - 11 Years","6.52813658507","34.6%","28.1%"
"2022 Mar 24 12:00:00 AM","12 - 17 Years","7.06280356514","68.7%","59%"
"2022 Mar 24 12:00:00 AM","18 - 24 Years","10.16713864497","77.6%","63.5%"
"2022 Mar 24 12:00:00 AM","25 - 49 Years","9.66427028743","82%","69.7%"
"2022 Mar 24 12:00:00 AM","50 - 64 Years","7.40238231483","92.5%","80.8%"
"2022 Mar 24 12:00:00 AM","65+ Years","6.52338491052","95%","89.4%"
"2022 Mar 23 12:00:00 AM","<2 Years","5.80608577612","0%","0%"
"2022 Mar 23 12:00:00 AM","2 - 4 Years","9.60494558595","0%","0%"
"2022 Mar 23 12:00:00 AM","5 - 11 Years","8.47517755286","34.6%","28%"
"2022 Mar 23 12:00:00 AM","12 - 17 Years","9.13002129685","68.7%","59%"
"2022 Mar 23 12:00:00 AM","18 - 24 Years","12.02310118368","77.6%","63.5%"
"2022 Mar 23 12:00:00 AM","25 - 49 Years","11.82041052402","82%","69.7%"
"2022 Mar 23 12:00:00 AM","50 - 64 Years","9.22857268902","92.5%","80.8%"
"2022 Mar 23 12:00:00 AM","65+ Years","7.99613451984","95%","89.4%"
"2022 Mar 22 12:00:00 AM","<2 Years","7.61924908164","0%","0%"
"2022 Mar 22 12:00:00 AM","2 - 4 Years","13.15062181853","0%","0%"
"2022 Mar 22 12:00:00 AM","5 - 11 Years","11.2001309424","34.6%","28%"
"2022 Mar 22 12:00:00 AM","12 - 17 Years","12.59518074327","68.7%","59%"
"2022 Mar 22 12:00:00 AM","18 - 24 Years","15.05664973461","77.6%","63.5%"
"2022 Mar 22 12:00:00 AM","25 - 49 Years","15.42142927621","82%","69.7%"
"2022 Mar 22 12:00:00 AM","50 - 64 Years","11.86206452647","92.5%","80.8%"
"2022 Mar 22 12:00:00 AM","65+ Years","9.24584435342","95%","89.3%"
"2022 Mar 21 12:00:00 AM","<2 Years","8.34996380176","0%","0%"
"2022 Mar 21 12:00:00 AM","2 - 4 Years","14.3816607109","0%","0%"
"2022 Mar 21 12:00:00 AM","5 - 11 Years","12.09455445636","34.5%","28%"
"2022 Mar 21 12:00:00 AM","12 - 17 Years","13.69674510915","68.6%","58.9%"
"2022 Mar 21 12:00:00 AM","18 - 24 Years","16.20728978026","77.6%","63.5%"
"2022 Mar 21 12:00:00 AM","25 - 49 Years","16.58349626875","82%","69.7%"
"2022 Mar 21 12:00:00 AM","50 - 64 Years","13.02034688463","92.5%","80.8%"
"2022 Mar 21 12:00:00 AM","65+ Years","9.94271152008","95%","89.3%"
"2022 Mar 20 12:00:00 AM","<2 Years","8.56298572016","0%","0%"
"2022 Mar 20 12:00:00 AM","2 - 4 Years","14.41185935617","0%","0%"
"2022 Mar 20 12:00:00 AM","5 - 11 Years","12.10007868918","34.5%","27.9%"
"2022 Mar 20 12:00:00 AM","12 - 17 Years","13.58424734861","68.6%","58.9%"
"2022 Mar 20 12:00:00 AM","18 - 24 Years","15.82626435841","77.5%","63.5%"
"2022 Mar 20 12:00:00 AM","25 - 49 Years","16.18401507154","81.9%","69.6%"
"2022 Mar 20 12:00:00 AM","50 - 64 Years","12.80490000931","92.5%","80.8%"
"2022 Mar 20 12:00:00 AM","65+ Years","9.98525820716","95%","89.3%"
"2022 Mar 19 12:00:00 AM","<2 Years","8.56546271921","0%","0%"
"2022 Mar 19 12:00:00 AM","2 - 4 Years","14.41896491976","0%","0%"
"2022 Mar 19 12:00:00 AM","5 - 11 Years","12.04483636097","34.5%","27.9%"
"2022 Mar 19 12:00:00 AM","12 - 17 Years","13.46775220572","68.6%","58.9%"
"2022 Mar 19 12:00:00 AM","18 - 24 Years","15.54025892389","77.5%","63.5%"
"2022 Mar 19 12:00:00 AM","25 - 49 Years","15.97170801144","81.9%","69.6%"
"2022 Mar 19 12:00:00 AM","50 - 64 Years","12.66369036079","92.5%","80.8%"
"2022 Mar 19 12:00:00 AM","65+ Years","9.91126396876","95%","89.3%"
"2022 Mar 18 12:00:00 AM","<2 Years","8.52954623297","0%","0%"
"2022 Mar 18 12:00:00 AM","2 - 4 Years","14.35856762923","0%","0%"
"2022 Mar 18 12:00:00 AM","5 - 11 Years","12.02424603864","34.5%","27.8%"
"2022 Mar 18 12:00:00 AM","12 - 17 Years","13.44319685697","68.6%","58.9%"
"2022 Mar 18 12:00:00 AM","18 - 24 Years","15.48873067205","77.5%","63.4%"
"2022 Mar 18 12:00:00 AM","25 - 49 Years","15.8899598724","81.9%","69.6%"
"2022 Mar 18 12:00:00 AM","50 - 64 Years","12.58809098304","92.4%","80.8%"
"2022 Mar 18 12:00:00 AM","65+ Years","9.87875935689","95%","89.3%"
"2022 Mar 17 12:00:00 AM","<2 Years","8.4341817695","0%","0%"
"2022 Mar 17 12:00:00 AM","2 - 4 Years","14.48469138299","0%","0%"
"2022 Mar 17 12:00:00 AM","5 - 11 Years","12.05236940573","34.4%","27.8%"
"2022 Mar 17 12:00:00 AM","12 - 17 Years","13.58253418474","68.6%","58.9%"
"2022 Mar 17 12:00:00 AM","18 - 24 Years","15.88913828038","77.5%","63.4%"
"2022 Mar 17 12:00:00 AM","25 - 49 Years","16.24129168028","81.9%","69.6%"
"2022 Mar 17 12:00:00 AM","50 - 64 Years","12.76857598397","92.4%","80.8%"
"2022 Mar 17 12:00:00 AM","65+ Years","9.91813486233","95%","89.3%"
"2022 Mar 16 12:00:00 AM","<2 Years","6.99009132262","0%","0%"
"2022 Mar 16 12:00:00 AM","2 - 4 Years","12.8024492025","0%","0%"
"2022 Mar 16 12:00:00 AM","5 - 11 Years","10.68436847814","34.4%","27.7%"
"2022 Mar 16 12:00:00 AM","12 - 17 Years","12.02755244898","68.5%","58.8%"
"2022 Mar 16 12:00:00 AM","18 - 24 Years","15.1521424582","77.5%","63.4%"
"2022 Mar 16 12:00:00 AM","25 - 49 Years","15.24854122166","81.9%","69.6%"
"2022 Mar 16 12:00:00 AM","50 - 64 Years","11.7669409851","92.4%","80.8%"
"2022 Mar 16 12:00:00 AM","65+ Years","9.05425212899","95%","89.3%"
"2022 Mar 15 12:00:00 AM","<2 Years","5.40481192982","0%","0%"
"2022 Mar 15 12:00:00 AM","2 - 4 Years","9.60139280415","0%","0%"
"2022 Mar 15 12:00:00 AM","5 - 11 Years","8.08295702259","34.3%","27.7%"
"2022 Mar 15 12:00:00 AM","12 - 17 Years","8.71086720429","68.5%","58.8%"
"2022 Mar 15 12:00:00 AM","18 - 24 Years","12.14412166507","77.4%","63.4%"
"2022 Mar 15 12:00:00 AM","25 - 49 Years","11.93192133503","81.9%","69.6%"
"2022 Mar 15 12:00:00 AM","50 - 64 Years","9.39271187854","92.4%","80.8%"
"2022 Mar 15 12:00:00 AM","65+ Years","7.988735096","95%","89.3%"
"2022 Mar 14 12:00:00 AM","<2 Years","4.96638309775","0%","0%"
"2022 Mar 14 12:00:00 AM","2 - 4 Years","8.57819164686","0%","0%"
"2022 Mar 14 12:00:00 AM","5 - 11 Years","7.11621627898","34.3%","27.6%"
"2022 Mar 14 12:00:00 AM","12 - 17 Years","7.35175720388","68.5%","58.8%"
"2022 Mar 14 12:00:00 AM","18 - 24 Years","10.4933266612","77.4%","63.4%"
"2022 Mar 14 12:00:00 AM","25 - 49 Years","10.28809589208","81.8%","69.6%"
"2022 Mar 14 12:00:00 AM","50 - 64 Years","8.13862490353","92.4%","80.8%"
"2022 Mar 14 12:00:00 AM","65+ Years","7.45280539787","95%","89.3%"
"2022 Mar 13 12:00:00 AM","<2 Years","5.21779850145","0%","0%"
"2022 Mar 13 12:00:00 AM","2 - 4 Years","9.28874800609","0%","0%"
"2022 Mar 13 12:00:00 AM","5 - 11 Years","7.77108896972","34.3%","27.6%"
"2022 Mar 13 12:00:00 AM","12 - 17 Years","7.95536193936","68.5%","58.8%"
"2022 Mar 13 12:00:00 AM","18 - 24 Years","11.25254108738","77.4%","63.3%"
"2022 Mar 13 12:00:00 AM","25 - 49 Years","11.14221843856","81.8%","69.6%"
"2022 Mar 13 12:00:00 AM","50 - 64 Years","8.72571196316","92.4%","80.8%"
"2022 Mar 13 12:00:00 AM","65+ Years","7.76965929731","95%","89.3%"
"2022 Mar 12 12:00:00 AM","<2 Years","5.31811696303","0%","0%"
"2022 Mar 12 12:00:00 AM","2 - 4 Years","9.54632468631","0%","0%"
"2022 Mar 12 12:00:00 AM","5 - 11 Years","7.88308023508","34.3%","27.6%"
"2022 Mar 12 12:00:00 AM","12 - 17 Years","8.15922843942","68.5%","58.8%"
"2022 Mar 12 12:00:00 AM","18 - 24 Years","11.43359907319","77.4%","63.3%"
"2022 Mar 12 12:00:00 AM","25 - 49 Years","11.33018624692","81.8%","69.5%"
"2022 Mar 12 12:00:00 AM","50 - 64 Years","8.8592027563","92.4%","80.8%"
"2022 Mar 12 12:00:00 AM","65+ Years","7.98450685381","95%","89.3%"
"2022 Mar 11 12:00:00 AM","<2 Years","5.4134814265","0%","0%"
"2022 Mar 11 12:00:00 AM","2 - 4 Years","9.8394291845","0%","0%"
"2022 Mar 11 12:00:00 AM","5 - 11 Years","7.94234018716","34.2%","27.5%"
"2022 Mar 11 12:00:00 AM","12 - 17 Years","8.20319964532","68.4%","58.7%"
"2022 Mar 11 12:00:00 AM","18 - 24 Years","11.53949199441","77.4%","63.3%"
"2022 Mar 11 12:00:00 AM","25 - 49 Years","11.4262204685","81.8%","69.5%"
"2022 Mar 11 12:00:00 AM","50 - 64 Years","8.98406659342","92.4%","80.7%"
"2022 Mar 11 12:00:00 AM","65+ Years","8.16684979844","95%","89.3%"
"2022 Mar 10 12:00:00 AM","<2 Years","5.58067886246","0%","0%"
"2022 Mar 10 12:00:00 AM","2 - 4 Years","9.97976406545","0%","0%"
"2022 Mar 10 12:00:00 AM","5 - 11 Years","8.15477204926","34.2%","27.4%"
"2022 Mar 10 12:00:00 AM","12 - 17 Years","8.31798162434","68.4%","58.7%"
"2022 Mar 10 12:00:00 AM","18 - 24 Years","11.47898175371","77.3%","63.3%"
"2022 Mar 10 12:00:00 AM","25 - 49 Years","11.4353476879","81.8%","69.5%"
"2022 Mar 10 12:00:00 AM","50 - 64 Years","9.08441171343","92.4%","80.7%"
"2022 Mar 10 12:00:00 AM","65+ Years","8.39808179345","95%","89.3%"
"2022 Mar 09 12:00:00 AM","<2 Years","5.68966682072","0%","0%"
"2022 Mar 09 12:00:00 AM","2 - 4 Years","10.03838496508","0%","0%"
"2022 Mar 09 12:00:00 AM","5 - 11 Years","8.02972350632","34.1%","27.4%"
"2022 Mar 09 12:00:00 AM","12 - 17 Years","8.17978640581","68.4%","58.7%"
"2022 Mar 09 12:00:00 AM","18 - 24 Years","10.77838662321","77.3%","63.3%"
"2022 Mar 09 12:00:00 AM","25 - 49 Years","10.51455675619","81.8%","69.5%"
"2022 Mar 09 12:00:00 AM","50 - 64 Years","8.54522696223","92.4%","80.7%"
"2022 Mar 09 12:00:00 AM","65+ Years","8.2767840955","95%","89.3%"
"2022 Mar 08 12:00:00 AM","<2 Years","6.09713316465","0%","0%"
"2022 Mar 08 12:00:00 AM","2 - 4 Years","10.74005936983","0%","0%"
"2022 Mar 08 12:00:00 AM","5 - 11 Years","8.65848164191","34.1%","27.3%"
"2022 Mar 08 12:00:00 AM","12 - 17 Years","8.89988628418","68.4%","58.7%"
"2022 Mar 08 12:00:00 AM","18 - 24 Years","11.67800371724","77.3%","63.2%"
"2022 Mar 08 12:00:00 AM","25 - 49 Years","11.2390463314","81.7%","69.5%"
"2022 Mar 08 12:00:00 AM","50 - 64 Years","9.26489671436","92.4%","80.7%"
"2022 Mar 08 12:00:00 AM","65+ Years","8.97021581537","95%","89.3%"
"2022 Mar 07 12:00:00 AM","<2 Years","6.51203050573","0%","0%"
"2022 Mar 07 12:00:00 AM","2 - 4 Years","11.39732400212","0%","0%"
"2022 Mar 07 12:00:00 AM","5 - 11 Years","9.20035866132","34.1%","27.3%"
"2022 Mar 07 12:00:00 AM","12 - 17 Years","9.62227038104","68.4%","58.6%"
"2022 Mar 07 12:00:00 AM","18 - 24 Years","12.69864129266","77.2%","63.2%"
"2022 Mar 07 12:00:00 AM","25 - 49 Years","12.04012518249","81.7%","69.5%"
